Month,Year, Category ,date,power_generation,Feed-in,Load,grid_connected,Charge,battery_level
3,22,31,31/03/22,5.8,0,13.74,7.94,1.5,5.5
4,22,1,01/04/22,10.3,0.09,26.3,16.09,8.4,3.8
4,22,2,02/04/22,8.2,0.07,14.38,6.25,3.3,3.1
4,22,3,03/04/22,17.8,0.19,24.32,6.71,5.8,5.1
4,22,4,04/04/22,11.3,0.33,15.75,4.78,3.1,3
4,22,5,05/04/22,15.4,0.29,20.21,5.1,4.9,4.9
4,22,6,06/04/22,16.1,0.4,23.08,7.38,3.7,3.7
4,22,7,07/04/22,12.7,0.22,17.49,5.01,2.9,2.8
4,22,8,08/04/22,13.6,0.03,20.39,6.82,4.3,5.1
4,22,9,09/04/22,10.8,0,16.2,5.4,4.6,4.9
4,22,10,10/04/22,11,0.01,19.2,8.21,4,5.1
4,22,11,11/04/22,17.8,0.16,25,7.36,5.1,2.7
4,22,12,12/04/22,12,0.24,15.25,3.49,3.7,4.2
4,22,13,13/04/22,15.7,0.34,20.96,5.6,4.3,4.4
4,22,14,14/04/22,16.5,0.41,24.83,8.74,4.4,4.1
4,22,15,15/04/22,10.9,0.03,20.77,9.9,4,5.5
4,22,16,16/04/22,14.6,0.09,20.81,6.3,5.1,4
4,22,17,17/04/22,15,0.15,22.22,7.37,4.9,7.9
4,22,18,18/04/22,8.6,0,25.4,16.8,3.2,1.4
4,22,19,19/04/22,13.3,0.31,23.83,10.84,4.3,2
4,22,20,20/04/22,16.3,0.24,25.34,9.28,4.5,3.6
4,22,21,21/04/22,13.9,0.15,19.36,5.61,2.5,3
4,22,22,22/04/22,12.9,0.1,18.26,5.46,5.3,5.7
4,22,23,23/04/22,4.9,0.03,15.17,10.3,4.4,4.8
4,22,24,24/04/22,15.7,0.13,21,5.43,6.8,5.9
4,22,25,25/04/22,12.9,0.1,21.41,8.61,5.1,6.8
4,22,26,26/04/22,14.9,0.48,23.05,8.63,4.8,2
4,22,27,27/04/22,14.6,0.24,19.63,5.27,5.5,5.2
4,22,28,28/04/22,14.9,0.27,21.18,6.55,4.1,4
4,22,29,29/04/22,19.5,0.29,26.21,7,4.5,4.4
4,22,30,30/04/22,16.6,0.27,20.06,3.73,4.5,4.3
5,22,1,01/05/22,15,0.22,19.74,4.96,2.9,3
5,22,2,02/05/22,17.3,0.17,22.21,5.08,4.9,4.8
5,22,3,03/05/22,15.2,0.24,19.3,4.34,3.9,3.7
5,22,4,04/05/22,16,0.15,20.23,4.38,4.1,4.3
5,22,5,05/05/22,15.7,0.24,19.31,3.85,4.7,4.7
5,22,6,06/05/22,14.7,0.37,25.52,11.19,3.7,3
5,22,7,07/05/22,10.9,0.06,16.82,5.98,4.6,6.1
5,22,8,08/05/22,14.8,0.2,23.2,8.6,7.3,5.9
5,22,9,09/05/22,16.5,0.27,20.87,4.64,5.6,5.3
5,22,10,10/05/22,15,0.26,20.18,5.44,4.7,4.4
5,22,11,11/05/22,15.3,0.3,20.99,5.99,5,4.7
5,22,12,12/05/22,15.6,0.28,17.02,1.7,4.3,4
5,22,13,13/05/22,14.7,0.39,19.78,5.47,4.9,3.5
5,22,14,14/05/22,15.6,0.23,20.16,4.79,4.2,4.1
5,22,15,15/05/22,17.7,0.28,22.61,5.19,4.1,3.9
5,22,16,16/05/22,12.9,0.29,17.07,4.46,3.7,4.7
5,22,17,17/05/22,16.1,0.21,20.34,4.45,4.9,3.4
5,22,18,18/05/22,13.6,0.3,19.21,5.91,4.3,4.1
5,22,19,19/05/22,7.4,0.02,15.88,8.5,2.1,7.1
5,22,20,20/05/22,3.1,0,23.09,19.99,6.5,3.2
5,22,21,21/05/22,13.5,0.08,17.94,4.52,5.2,3.5
5,22,22,22/05/22,16.6,0.18,20.33,3.91,4,3.8
5,22,23,23/05/22,13.3,0.27,17.49,4.46,4.2,3.9
5,22,24,24/05/22,14.8,0.18,19.08,4.46,3.9,4.1
5,22,25,25/05/22,13.5,0.4,17.07,3.97,5.3,5.5
5,22,26,26/05/22,7.7,0.01,18.57,10.88,5.5,7.2
5,22,27,27/05/22,13.6,0.27,19.55,6.22,4.9,2.4
