Month,Year, Category ,date,power_generation,Feed-in,Load,grid_connected,Charge,battery_level
1,23,26,26/01/23,26.1,7.43,25.28,6.61,4.4,4.2
1,23,27,27/01/23,23.1,7.58,20.96,5.44,4,4.1
1,23,28,28/01/23,20.6,5.62,21.52,6.54,4.5,4.5
1,23,29,29/01/23,22.5,8.89,20.98,7.37,2.9,2.8
1,23,30,30/01/23,17.3,6.81,17.82,7.33,3.8,3.8
1,23,31,31/01/23,24,9.24,22.14,7.38,3.1,3.2
2,23,1,01/02/23,22.5,9.69,20.81,8,2.5,2.7
2,23,2,02/02/23,19.1,7.85,19.58,8.33,2.7,2.7
2,23,3,03/02/23,17.1,3.88,22.46,9.24,5.5,5.2
2,23,4,04/02/23,22.4,12.83,18.53,8.96,3,2.8
2,23,5,05/02/23,29.7,12.75,23.53,6.58,3.3,3.3
2,23,6,06/02/23,29.3,13.12,23.28,7.1,3.4,3.4
2,23,7,07/02/23,14.2,3.46,20.32,9.58,3.6,3.6
2,23,8,08/02/23,9,0.18,21.45,12.63,4.3,4.4
2,23,9,09/02/23,10.8,0.11,22.12,11.43,8.4,8.1
2,23,10,10/02/23,25,9.24,20.63,4.87,6.7,6
2,23,11,11/02/23,15.6,2.1,20.69,7.19,8,7.6
2,23,12,12/02/23,22.3,4.21,25.84,7.75,5.9,6.1
2,23,13,13/02/23,23.8,11.71,21.68,9.59,4,3.7
2,23,14,14/02/23,25.8,9.83,25.27,9.3,5.1,5
2,23,15,15/02/23,6.5,1.37,20.16,15.03,5.2,5
2,23,16,16/02/23,9,1.51,21.22,13.73,7,6.7
2,23,17,17/02/23,8.4,2.88,19.87,14.35,5.3,5.4
2,23,18,18/02/23,17.9,9.69,19.53,11.32,2.1,2.3
2,23,19,19/02/23,21,10.2,20.66,9.86,2.6,2.6
2,23,20,20/02/23,14.4,7.58,19.86,13.04,3.9,3.9
2,23,21,21/02/23,17.1,7.32,17.31,7.53,2.7,3.4
2,23,22,22/02/23,24,12.16,20.25,8.41,2.2,2.1
2,23,23,23/02/23,23,11.56,19.86,8.42,2.4,1.9
2,23,24,24/02/23,13.9,4.63,20.66,11.39,1.6,1.9
2,23,25,25/02/23,11,2.02,16.15,7.17,3,3.3
2,23,26,26/02/23,18.1,6.55,21.83,10.28,4.2,3.8
2,23,27,27/02/23,21.9,9.34,22.24,9.68,1.7,1.8
2,23,28,28/02/23,16.1,3.6,22.26,9.76,4.8,4.6
3,23,1,01/03/23,22.3,11.28,20.05,9.03,1,1.4
3,23,2,02/03/23,21.2,12.67,19.51,10.98,1.1,1.2
3,23,3,03/03/23,20.8,12.25,22.14,13.59,1,1
3,23,4,04/03/23,21.2,11.64,19.59,10.03,1.1,1.2
3,23,5,05/03/23,20.1,8.64,26.46,15,5.3,5.4
3,23,6,06/03/23,18.7,8.35,19.18,8.83,1.5,1.5
3,23,7,07/03/23,17.5,10.26,18.55,11.31,1.5,1.6
3,23,8,08/03/23,21.7,10.16,23.49,11.95,2.1,1.8
3,23,9,09/03/23,24.3,10.34,24.2,10.24,1.7,1.7
3,23,10,10/03/23,22.8,11.81,20.62,9.63,1.4,1.5
3,23,11,11/03/23,19.6,7.59,21.98,9.97,2.5,2.5
3,23,12,12/03/23,19.4,5.53,22.84,8.97,4.4,4.4
3,23,13,13/03/23,21.9,14.2,18.52,10.82,1.5,1.5
3,23,14,14/03/23,12.4,5.45,19.76,12.81,3.7,3.6
3,23,15,15/03/23,12.1,5.22,19.87,12.99,0.9,1
3,23,16,16/03/23,12,3.81,21.68,13.49,3.8,3.6
3,23,17,17/03/23,18.4,7.98,21.67,11.25,1,1.4
3,23,18,18/03/23,25.7,13.87,22.51,10.68,0.6,0.3
3,23,19,19/03/23,23.5,11.65,23.89,12.04,3.3,3.1
3,23,20,20/03/23,9.9,1.51,20.88,12.49,3.3,3
3,23,21,21/03/23,29.6,12.57,26.42,9.39,0.4,0.5
3,23,22,22/03/23,27.2,16.24,19.9,8.94,0.4,0.7
3,23,23,23/03/23,7.8,0.8,21.47,14.47,6.5,6.5
3,23,24,24/03/23,12.6,3.16,23.35,13.91,2.4,1.9
3,23,25,25/03/23,26.1,15.3,22.38,11.58,1.3,1.2
3,23,26,26/03/23,21.2,9.26,21.1,9.16,1.7,1.6
3,23,27,27/03/23,28.6,15.84,24.05,11.29,1.2,1.3
3,23,28,28/03/23,24.2,7.49,29.48,12.77,1.2,1.3
3,23,29,29/03/23,26.4,14.37,25.04,13.01,0.8,0.7
3,23,30,30/03/23,22.4,10.24,22.96,10.8,1.4,1.5
3,23,31,31/03/23,24.1,11.72,22.04,9.66,1.8,1.9
4,23,1,01/04/23,20.1,13.39,15.8,9.09,0.6,0.8
4,23,2,02/04/23,20.2,11.94,16.62,8.36,1,1.2
4,23,3,03/04/23,11.6,1.99,19.07,9.46,2.9,2.8
4,23,4,04/04/23,3.6,0,11.81,8.21,0.9,0.9
4,23,5,05/04/23,21.8,12.68,17.31,8.19,0.5,1.1
4,23,6,06/04/23,22,11.03,21.92,10.95,1.9,1.8
4,23,7,07/04/23,19.6,10.05,23.5,13.95,1.5,1.1
4,23,8,08/04/23,6.6,1.11,19.43,13.94,3.7,4
4,23,9,09/04/23,11.6,1.5,23.57,13.47,6.1,5.4
4,23,10,10/04/23,24.8,14.66,19.13,8.99,0.4,0.6
4,23,11,11/04/23,20.7,5.94,22.82,8.06,2,3.1
4,23,12,12/04/23,13.3,0.78,19.31,6.79,3.1,5.7
4,23,13,13/04/23,11.8,4.11,20.7,13.01,6.4,1.8
4,23,14,14/04/23,17.7,6.41,23.22,11.93,3,2.8
4,23,15,15/04/23,15.6,6.73,17.89,9.02,2.8,2.7
4,23,16,16/04/23,15.1,6.31,19.57,10.78,2,2.1
4,23,17,17/04/23,20.3,9.95,19.16,8.81,1.1,1.4
4,23,18,18/04/23,16.9,9.4,18.6,11.1,1.4,1.4
4,23,19,19/04/23,13.5,6.71,17.33,10.54,1.8,1.6
4,23,20,20/04/23,4.9,0.35,19.21,14.66,1.7,1.6
4,23,21,21/04/23,15.8,6.53,18.68,9.41,1.4,2.1
4,23,22,22/04/23,6.3,1.84,19.02,14.56,3,2.8
4,23,23,23/04/23,17.7,8.11,22.23,12.64,3.8,3.5
4,23,24,24/04/23,5.8,0.79,18.68,13.67,1.7,1.7
4,23,25,25/04/23,11.5,2.96,21.4,12.86,4.2,4.5
4,23,26,26/04/23,16.9,8.8,23.51,15.41,1.6,1.1
4,23,27,27/04/23,21.3,9.57,23.92,12.19,1.8,1.8
4,23,28,28/04/23,17.6,9.36,21.91,13.67,1.2,1.4
4,23,29,29/04/23,19.1,10.62,17.68,9.2,2.1,2.2
4,23,30,30/04/23,11.3,3.4,23.62,15.72,3.5,3.4
5,23,1,01/05/23,23.1,15.1,18.3,10.3,0.1,0.4
5,23,2,02/05/23,17.1,9.7,17.07,9.67,0.8,0.8
5,23,3,03/05/23,18.1,9.19,19.83,10.92,3.7,3.5
5,23,4,04/05/23,19.6,8.61,22.78,11.79,4.3,4.4
5,23,5,05/05/23,17.8,7.75,21.01,10.96,3.6,3.5
5,23,6,06/05/23,15.1,6.57,20.56,12.03,4.9,4.9
5,23,7,07/05/23,8.4,1.21,22.41,15.22,3.9,3.8
5,23,8,08/05/23,21.7,12.2,22.43,12.93,3.7,3.3
5,23,9,09/05/23,24.4,11.79,24.6,11.99,2.7,2.7
5,23,10,10/05/23,24.3,14.08,22.59,12.37,1.7,1.7
5,23,11,11/05/23,9.9,2.77,21.79,14.66,4.3,4.6
5,23,12,12/05/23,2.5,0.03,17.71,15.24,6.1,6.6
5,23,13,13/05/23,2.1,0,27.67,25.57,6.9,5.8
5,23,14,14/05/23,7.5,1.67,21.46,15.63,2.4,2.2
5,23,15,15/05/23,18.3,9.79,19.61,11.1,1.8,1.7
5,23,16,16/05/23,15.4,4.1,21.25,9.95,2.7,2.8
5,23,17,17/05/23,11.2,4.33,16.33,9.46,1.2,1.2
5,23,18,18/05/23,7.5,1.01,22.85,16.36,3.1,3.1
5,23,19,19/05/23,11.9,4.15,18.27,10.52,0.7,0.6
5,23,20,20/05/23,13.2,4.23,21.15,12.18,0.7,0.5
5,23,21,21/05/23,6.5,1.23,23.18,17.91,5.6,5.7
5,23,22,22/05/23,10.1,3.73,18.6,12.23,2.3,2
5,23,23,23/05/23,11,3.9,17.31,10.21,3.5,3.4
5,23,24,24/05/23,11.2,4.04,18.14,10.98,2.8,2.9
5,23,25,25/05/23,4,0.1,18.54,14.64,4.5,7.2
5,23,26,26/05/23,14.4,4.54,24.75,14.89,6,2.7
5,23,27,27/05/23,19.4,4.85,26.28,11.73,4.6,4.6
5,23,28,28/05/23,13.2,3.51,19.2,9.51,4.4,4.2
5,23,29,29/05/23,1.3,0.06,15,13.76,4,3.9
5,23,30,30/05/23,1.9,0,17.25,15.35,5.3,5.5
5,23,31,31/05/23,11.7,4.14,19.81,12.25,2.8,2.1
6,23,1,01/06/23,13.7,4.13,19.68,10.11,1.6,1.6
6,23,2,02/06/23,12.4,4.7,19.85,12.15,2.2,1.9
6,23,3,03/06/23,14.1,4.09,23.78,13.77,2.7,2.6
6,23,4,04/06/23,12.8,4.72,18.29,10.21,3,2.8
6,23,5,05/06/23,14.7,6.04,20.47,11.81,1.5,1.8
6,23,6,06/06/23,17.3,5.33,23.4,11.43,2.9,2.6
6,23,7,07/06/23,16,6.31,21.49,11.8,1.5,1.4
6,23,8,08/06/23,16.5,5.14,24.42,13.06,1.8,1.6
6,23,9,09/06/23,11.8,4.59,20.96,13.75,2.5,2.3
6,23,10,10/06/23,16.1,6.33,20.87,11.1,2,1.8
6,23,11,11/06/23,14.9,4.08,22.05,11.23,2.2,2.1
6,23,12,12/06/23,14.4,5.56,20.89,12.05,2.1,2
6,23,13,13/06/23,9,3.72,17.15,11.87,1.9,1.9
6,23,14,14/06/23,4.3,0.58,20.54,16.82,2.9,2.8
6,23,15,15/06/23,11.5,2.36,26.85,17.71,1.9,1.7
6,23,16,16/06/23,14.7,6.53,19.14,10.97,2.3,2.1
6,23,17,17/06/23,15.3,5.49,25.92,16.11,1.8,1.6
6,23,18,18/06/23,13.6,6,18.47,10.87,1.6,1.6
6,23,19,19/06/23,9.5,3.07,20.54,14.11,2.2,2
6,23,20,20/06/23,14.6,3.66,24.33,13.39,4.3,4
6,23,21,21/06/23,10.4,2.51,19.89,12,2.4,2.6
6,23,22,22/06/23,17.3,4.95,24.28,11.93,2.8,2.9
6,23,23,23/06/23,15.6,5.45,22.4,12.25,2.6,2.4
6,23,24,24/06/23,10.1,4.27,16.13,10.3,2.5,2.2
6,23,25,25/06/23,4.3,1.09,25.91,22.7,7.5,7.3
6,23,26,26/06/23,1.4,0.05,19.96,18.61,4.8,4.6
6,23,27,27/06/23,5.5,1.64,21.74,17.88,5.4,5
6,23,28,28/06/23,4.8,0.8,18.99,14.99,2.6,2.6
